text,label
"Using a simple CNN algorithm, create a word classifier.",TECHNICAL_TASK
Identify 5 different types of data that can be used for gathering.,TECHNICAL_TASK
Create 12 different python apps that use flask for their UI (User Interface).,TECHNICAL_TASK
"Javascript can be used in HTML for different ways, Identify at least 3 ways to do so.",TECHNICAL_TASK
"Based on your earlier research, create a short essay about how electronic devices receive and send data.",TECHNICAL_TASK
Your objective for this assignment is to develop a functional word embedding model.,TECHNICAL_TASK
"For this exercise, you will create a bag-of-words model using the TensorFlow library.",TECHNICAL_TASK
"For the purpose of this assignment, you will need to implement a logistic regression classifier using PyTorch.",TECHNICAL_TASK
Provide 7 examples of how you can easily benefit from the use of computers.,TECHNICAL_TASK
Begin by implementing a stemming algorithm in your preferred programming language.,TECHNICAL_TASK
"For this assignment, you will need to implement a TF-IDF vectorizer using the Natural Language Toolkit (NLTK).",TECHNICAL_TASK
"For the provided task, complete 8 sentences related to Machine Learning.",TECHNICAL_TASK
Deploy your Flask application using Docker to demonstrate containerization skills.,TECHNICAL_TASK
"Create a data preprocessing pipeline that handles missing values, normalizes numerical features, and encodes categorical variables for machine learning.",TECHNICAL_TASK
"Build a Python-based sentiment analysis system that preprocesses customer reviews, extracts TF-IDF features, and classifies sentiments using a Support Vector Machine (SVM).",TECHNICAL_TASK
Design and implement a convolutional neural network (CNN) that accurately classifies handwritten digits from the MNIST dataset.,TECHNICAL_TASK
Train and evaluate a decision tree classifier for predicting customer churn using the provided banking dataset.,TECHNICAL_TASK
"Construct an image preprocessing pipeline that resizes, augments, and normalizes images before model training.",TECHNICAL_TASK
Build a real-time face detection system using OpenCV and Haar Cascade classifiers.,TECHNICAL_TASK
Create a database-driven inventory management system using MySQL and Python for CRUD operations.,TECHNICAL_TASK
Develop and implement a Python script that preprocesses customer review data and classifies sentiments using a machine learning algorithm.,TECHNICAL_TASK
Evaluate 5 different logistic regression models that can predict customer churn rate.,TECHNICAL_TASK
"Instructions: Before writing any code, review the following raw data extracct representing a university student database.",TECHNICAL_TASK
"Optimize the provided CNN and finetune it for implementation of banking and financing, specifically for analyzing outliers to catch financial fraud.",TECHNICAL_TASK
A. Distribute all data evenly using a python script created from scratch under 5 minutes.,TECHNICAL_TASK
A. Modify the provided device to have more VRAM and Storage for training use.,TECHNICAL_TASK
"A. Using advanced training requirements as a basis, improve the provided device architecture to support efficient data handling, expanded VRAM capacity, and reliable storage performance.",TECHNICAL_TASK
A. Upgrade the provided device to achieve better training performance through enhanced graphical memory and storage expansion.,TECHNICAL_TASK
"A. To enhance computational performance, modify the existing device configuration to include upgraded VRAM modules and faster storage components for machine learning applications.",TECHNICAL_TASK
B. Create an upgraded version of the provided device that includes expanded VRAM capacity and additional storage for AI model training tasks.,TECHNICAL_TASK
B. Redesign the storage architecture of the existing device to support faster data access and more efficient neural network training operations.,TECHNICAL_TASK
B. Develop a modified hardware setup capable of handling intensive CNN training processes through improved storage allocation and graphical memory support.,TECHNICAL_TASK
B. Optimize the existing device for artificial intelligence applications by expanding both storage performance and VRAM utilization.,TECHNICAL_TASK
"B. Applying deep learning optimization principles, modify the device hardware to accommodate larger VRAM resources and high-speed storage for model development tasks.",TECHNICAL_TASK
"C. Using advanced AI optimization techniques, redesign the provided device to support larger VRAM capacity and faster storage performance for model training.",TECHNICAL_TASK
C. Create a hardware-enhanced version of the device that can efficiently manage deep learning workloads and large training datasets.,TECHNICAL_TASK
"C. By integrating high-speed storage solutions, improve the provided device architecture for more reliable machine learning operations.",TECHNICAL_TASK
C. Construct an upgraded device configuration capable of handling large-scale artificial intelligence applications with improved storage and memory resources.,TECHNICAL_TASK
C. Enhance the device specifications by incorporating modern memory management solutions and faster storage technologies for AI development tasks.,TECHNICAL_TASK
"After creating the baseline code, finish the dataset cleaning of the provided .csv file in the github.",TECHNICAL_TASK
Build a Python script that scrapes product data from an e-commerce website and stores it in a structured CSV file.,TECHNICAL_TASK
