text,predicted_label
Exercise for Unit 4.1 Naïve Bayes,WEIGHTED_PRIORITY
Name:									Date:,ADMIN_TRAP
Year and Section:,IGNORE
"Note: Note: Save your Python source codes into a single .ipynb file OR multiple python files, representing each number, with the proper naming convention (see Readme on the repository), upload it to your assigned folder in the GitHub organization.

Naïve Bayes Implementation. Given a small dataset of documents with the class label, do the following tasks.",TECHNICAL_TASK
"Performing it manually. In manually developing a Naïve Bayes model, create methods that will do the following:",TECHNICAL_TASK
Generate a Bag of Words (for word frequency),TECHNICAL_TASK
Calculate the prior for the class HAM and SPAM,TECHNICAL_TASK
Calculate the likelihood of the tokens in the vocabulary with respect to the class.,TECHNICAL_TASK
Determine the class of the following test sentence:,TECHNICAL_TASK
"Limited offer, click here!",IGNORE
Meeting at 2 PM with the manager.,ADMIN_TRAP
Using Scikit-Learn. Use the scikit-learn package to train and test a Multinomial Naïve Bayes classifer.,TECHNICAL_TASK
Determine the class of the following test sentence:,TECHNICAL_TASK
"Limited offer, click here!",IGNORE
Meeting at 2 PM with the manager.,ADMIN_TRAP
Free money now!!!,ADMIN_TRAP
"Hi mom, how are you?",ADMIN_TRAP
Lowest price for your meds,ADMIN_TRAP
Are we still on for dinner?,ADMIN_TRAP
Win a free iPhone today,TECHNICAL_TASK
Let's catch up tomorrow at the office,ADMIN_TRAP
Meeting at 3 PM tomorrow,ADMIN_TRAP
"Get 50% off, limited time!",WEIGHTED_PRIORITY
Team meeting in the office,ADMIN_TRAP
Click here for prizes!,IGNORE
Can you send the report?,ADMIN_TRAP
