text,label
Note: Only blue ink is allowed for the long brown folder submission.,ADMIN_TRAP
Note: Only blue ink is allowed for the 1/4 sheet submission.,ADMIN_TRAP
Filenames must be: Dom_PROJ_1411.pdf,ADMIN_TRAP
Warning: Submissions in .png will be failed by 12:45 AM.,ADMIN_TRAP
"Use 1/4 sheet for calculations; otherwise, you will lose 40 points.",ADMIN_TRAP
Filenames must be: Perez_ACT_5150.pdf,ADMIN_TRAP
Filenames must be: Reyes_QUIZ_3709.pdf,ADMIN_TRAP
Filenames must be: Santiago_LAB_3182.pdf,ADMIN_TRAP
Please Attach the short white folder to the guard house by Monday 1:30 AM.,ADMIN_TRAP
Please Pass the A4 bond paper to the faculty room by Saturday 10:45 PM.,ADMIN_TRAP
Note: Only black ink is allowed for the short white folder submission.,ADMIN_TRAP
Please Upload the 1/4 sheet to the faculty room by Friday 8:45 AM.,ADMIN_TRAP
Warning: Submissions in .png will be failed by 3:15 PM.,ADMIN_TRAP
Filenames must be: Cruz_ACT_5380.pdf,ADMIN_TRAP
Note: Upload your output in a legal size to LMS at Room 161.,ADMIN_TRAP
Strictly no late submissions. Attach it before 5:15 AM on Tuesday.,ADMIN_TRAP
Warning: Submissions in .png will be failed by 12:30 PM.,ADMIN_TRAP
Please Pass the long brown folder to the LMS by Wednesday 7:30 PM.,ADMIN_TRAP
Note: Direct your output in a intermediate pad to faculty room at Room 440.,ADMIN_TRAP
Staple the A4 bond paper at the top-right and bring it to Room 202.,ADMIN_TRAP
Strictly no late submissions. Turn in it before 5:30 AM on Wednesday.,ADMIN_TRAP
Please Pass the short white folder to the Admin Office by Saturday 7:45 PM.,ADMIN_TRAP
"Use A4 bond paper for calculations; otherwise, you will lose 43 points.",ADMIN_TRAP
Please Upload the long brown folder to the Class President by Friday 6:00 PM.,ADMIN_TRAP
Note: Upload your output in a legal size to Admin Office at Room 382.,ADMIN_TRAP
Note: Hand over your output in a yellow pad to guard house at Room 117.,ADMIN_TRAP
"Use A4 bond paper for calculations; otherwise, you will lose 41 points.",ADMIN_TRAP
Strictly no late submissions. Hand over it before 3:45 PM on Friday.,ADMIN_TRAP
Staple the yellow pad at the top-left and bring it to Room 306.,ADMIN_TRAP
"Use long brown folder for calculations; otherwise, you will lose 19 points.",ADMIN_TRAP
Strictly no late submissions. Submit it before 9:00 AM on Friday.,ADMIN_TRAP
Warning: Submissions in .zip will be failed by 10:30 PM.,ADMIN_TRAP
Strictly no late submissions. Hand over it before 1:00 AM on Saturday.,ADMIN_TRAP
Strictly no late submissions. Hand over it before 5:45 PM on Thursday.,ADMIN_TRAP
