text,label
This activity assumes knowledge of REST APIs.,PRE_REQUISITE
Page 15 of 25,IGNORE
Prerequisite: Install Git and configure your virtual environment.,PRE_REQUISITE
"Before starting, make sure Python is installed is set up.",PRE_REQUISITE
This activity assumes knowledge of Python OOP.,PRE_REQUISITE
Submit your Jupyter notebook as a .py file with proper naming convention.,TECHNICAL_TASK
"Using scikit-learn, train a model that classifies named entities.",TECHNICAL_TASK
This section is worth 20 points.,WEIGHTED_PRIORITY
This activity assumes knowledge of probability.,PRE_REQUISITE
Name: ____  Date: ____  Section: ____,ADMIN_TRAP
This activity assumes knowledge of probability.,PRE_REQUISITE
You should have completed Activity 1 before attempting this.,PRE_REQUISITE
NER pipeline — 10 pts,WEIGHTED_PRIORITY
Code a NER pipeline and test it with the provided sample corpus.,TECHNICAL_TASK
© 2024 West Visayas State University,IGNORE
"Using scikit-learn, train a model that classifies intent.",TECHNICAL_TASK
Name: ____  Date: ____  Section: ____,ADMIN_TRAP
"Before starting, make sure Python is installed is set up.",PRE_REQUISITE
CCS 249 — 2nd Semester,IGNORE
Optional: Implement named entities for additional credit.,OPTIONAL_BONUS
You should have completed the preprocessing lab before attempting this.,PRE_REQUISITE
© 2025 West Visayas State University,IGNORE
You should have completed the preprocessing lab before attempting this.,PRE_REQUISITE
Bonus: sentiment analysis module for 20 extra points.,OPTIONAL_BONUS
"Before starting, make sure the repository is cloned is set up.",PRE_REQUISITE
"Before starting, make sure the dataset is downloaded is set up.",PRE_REQUISITE
source code — 5/25,WEIGHTED_PRIORITY
Email your submission to instructor@example.edu.,ADMIN_TRAP
"Before starting, make sure Python is installed is set up.",PRE_REQUISITE
WVSU College of Computing,IGNORE
Submit via the LMS by next Monday.,ADMIN_TRAP
Create a Flask endpoint that accepts CSV file and returns embedding vector.,TECHNICAL_TASK
Create a REST API that accepts CSV file and returns probability distribution.,TECHNICAL_TASK
"For inquiries, contact instructor@example.edu",IGNORE
Create a REST API that accepts raw text and returns embedding vector.,TECHNICAL_TASK
© 2025 West Visayas State University,IGNORE
Modify the model to support batch inference.,TECHNICAL_TASK
Modify the frontend to support multi-label classification.,TECHNICAL_TASK
Optional: Implement n-grams for additional credit.,OPTIONAL_BONUS
"Using HuggingFace Transformers, train a model that classifies named entities.",TECHNICAL_TASK
Submit via the LMS by the end of the week.,ADMIN_TRAP
