text, label
West Visayas State University,IGNORE
COLLEGE OF INFORMATION AND COMMUNICATION TECHNOLOGY,IGNORE
"Luna St., La Paz, Iloilo City 5000",IGNORE
Trunkline: (063) (033) 320-0870 loc 1403,IGNORE
Telefax No.: (033) 320-0879,IGNORE
Website: www.wvsu.edu.ph,IGNORE
Email Address: cict@wvsu.edu.ph,IGNORE
Exercise for Unit 2 ,IGNORE
Worksheet,IGNORE
Filename:,IGNORE
Name:,IGNORE
Date:,IGNORE
Year and Section: ,IGNORE
Date Accomplished:,IGNORE
Course/Year Level/Section:,IGNORE
Submitted to:,IGNORE
[DOCUMENT METADATA]: Page 4 of 12 — Computer Science Department — Course Code: CS101 — Academic Year 2025-2026 — Term 1.,IGNORE
40. * * Section Header:* Part B: Supplementary Reading Material and Contextual Background Information (Optional / Non-Graded).,IGNORE
[CAMPUS NOTICE] Please note that the university network infrastructure will undergo routine maintenance this coming Saturday from 2:00 AM to 6:00 AM.,IGNORE
"- **Motivational Footer:** ""Success is the sum of small efforts, repeated day in and day out."" — Enjoy your weekly laboratory exploration!",IGNORE
This document is for internal institutional use only and may contain proprietary educational formatting templates protected under creative commons.,IGNORE
"• **[REVISION HISTORY]:** Document Version 2.4.1 — Revised by the Curriculum Committee on November 14, 2025 — Approved for Open Educational Resources (OER) publishing.",IGNORE
"41. * * Faculty Contact:* Office Hours: Mondays and Wednesdays from 1:00 PM to 3:30 PM at the Faculty Engineering Building, Room 402, or via the official institutional Zoom link.",IGNORE
"[ATTENDANCE POLICY] Regular attendance during synchronous check-ins is highly encouraged to maximize peer-to-peer collaboration, though sessions are recorded for asynchronous review.",IGNORE
"- **Graphic Caption:** Figure 1.2: A stylized decorative vector graphic representing a cloud database icon, used purely for visual aesthetics and page layout design.",IGNORE
"All brands, product names, logos, and registered trademarks mentioned in this worksheet template remain the sole property of their respective corporate owners.",IGNORE
"• **[STUDY RECOMMENDATION]:** Recommended reading: Chapters 4 and 5 of the optional textbook ""Introduction to Computing Systems"" offer great supplemental insights if you wish to read further.",IGNORE
"42. * * Grading Breakdown:* Laboratory Rubric Assessment Criteria: Functional Correctness (50%), Code Readability and Style (30%), Written Documentation Quality (20%).",IGNORE
"[INSPIRATIONAL QUOTE] ""The only way to learn a new programming language is by writing programs in it."" — Dennis Ritchie, Co-Creator of the C Programming Language and Unix.",IGNORE
"- **Facility Guidelines:** Please remember to push back your chairs, turn off the monitor displays, and clear your desks of any personal trash before exiting the computing lab.",IGNORE
This activity sheet was programmatically generated using the university's automated Markdown-to-PDF compilation script version 3.12.,IGNORE
"• **[INSTITUTIONAL HEADER]:** Technological University of the Philippines — Department of Computer Studies — First Semester, Academic Year 2025-2026.",IGNORE
"43. * * Important Date:* Midterm Examination Period: October 12, 2026, through October 17, 2026 — Please consult the university registrar website for room assignments.",IGNORE
"[MOTIVATIONAL QUOTE] ""Your talent determines what you can do. Your motivation determines how much you are willing to do."" — Lou Holtz",IGNORE
"- **Submission Window:** This laboratory activity sheet was officially published on August 24, 2026, and will remain open for late submissions until November 2, 2026.",IGNORE
"Sparks Technological Institute — ""Knowledge through Innovation"" — Established June 15, 1998 — Certified Quality Management System Document.",IGNORE
• **[DOCUMENT FLOW]:** --- Page 7 of 15 --- Section 3: Algorithmic Paradigms --- Continued on next page ---,IGNORE
44. * * Pagination Footer:* Computer Science Activity Sheets | Module 4: Relational Databases | Sheet Ref: CS-202-REV3 | Page 12,IGNORE
[LAYOUT MARKER] [End of Page 3] - Please do not write below this line - Institutional Evaluation Rubric v2,IGNORE
- **Document Navigation:** Back to Top | Table of Contents | Appendix B: Standard Library Reference Glossary | Page iii,IGNORE
Sheet 4-A • Foundational Data Structures • Course Code: COMP-201 • Page 9 / 10 • Total Marks: 100,IGNORE
• **[DOCUMENT BOUNDARY]:** --- END OF MODULE 2 --- This marks the conclusion of the mandatory reading portion. Please proceed to the next section.,IGNORE
