text,predicted_label
Exercise for Unit 4.1 Naïve Bayes,IGNORE
Name:									Date:,ADMIN_TRAP
Year and Section:,ADMIN_TRAP
"Note: Note: Save your Python source codes into a single .ipynb file OR multiple python files, representing each number, with the proper naming convention (see Readme on the repository), upload it to your assigned folder in the GitHub organization.

Naïve Bayes Implementation. Given a small dataset of documents with the class label, do the following tasks.",ADMIN_TRAP
"Performing it manually. In manually developing a Naïve Bayes model, create methods that will do the following:",TECHNICAL_TASK
Generate a Bag of Words (for word frequency),TECHNICAL_TASK
Calculate the prior for the class HAM and SPAM,IGNORE
Calculate the likelihood of the tokens in the vocabulary with respect to the class.,TECHNICAL_TASK
Determine the class of the following test sentence:,PRE_REQUISITE
"Limited offer, click here!",OPTIONAL_BONUS
Meeting at 2 PM with the manager.,IGNORE
Using Scikit-Learn. Use the scikit-learn package to train and test a Multinomial Naïve Bayes classifer.,TECHNICAL_TASK
Determine the class of the following test sentence:,PRE_REQUISITE
"Limited offer, click here!",OPTIONAL_BONUS
Meeting at 2 PM with the manager.,IGNORE
